region,year,sex,age_gr,population
norway,2018,Both,10 to 19,639092
norway,2018,Both,100 and over,0
norway,2018,Both,20 to 29,713182
norway,2018,Both,30 to 39,712877
norway,2018,Both,40 to 49,731854
norway,2018,Both,50 to 59,686235
norway,2018,Both,60 to 69,574535
norway,2018,Both,70 to 79,410684
norway,2018,Both,80 to 89,179546
norway,2018,Both,90 to 99,44830
norway,2018,Both,Overall,5311919
norway,2018,Female,0 to 9,301060
norway,2018,Female,10 to 19,310593
norway,2018,Female,100 and over,0
norway,2018,Female,20 to 29,346943
norway,2018,Female,30 to 39,347017
norway,2018,Female,40 to 49,356243
norway,2018,Female,50 to 59,334952
norway,2018,Female,60 to 69,286845
norway,2018,Female,70 to 79,213434
norway,2018,Female,80 to 89,106259
norway,2018,Female,90 to 99,31850
norway,2018,Female,Overall,2635196
norway,2018,Male,0 to 9,318024
norway,2018,Male,10 to 19,328499
norway,2018,Male,100 and over,0
norway,2018,Male,20 to 29,366239
norway,2018,Male,30 to 39,365860
norway,2018,Male,40 to 49,375611
norway,2018,Male,50 to 59,351283
norway,2018,Male,60 to 69,287690
norway,2018,Male,70 to 79,197250
norway,2018,Male,80 to 89,73287
norway,2018,Male,90 to 99,12980
norway,2018,Male,Overall,2676723
norway,2019,Both,0 to 9,610138
norway,2019,Both,10 to 19,641966
norway,2019,Both,100 and over,0
norway,2019,Both,20 to 29,712086
norway,2019,Both,30 to 39,723958
norway,2019,Both,40 to 49,726152
norway,2019,Both,50 to 59,697787
norway,2019,Both,60 to 69,579622
norway,2019,Both,70 to 79,427837
norway,2019,Both,80 to 89,183256
norway,2019,Both,90 to 99,45099
norway,2019,Both,Overall,5347901
norway,2019,Female,0 to 9,296674
norway,2019,Female,10 to 19,312200
norway,2019,Female,100 and over,0
norway,2019,Female,20 to 29,346027
norway,2019,Female,30 to 39,352883
norway,2019,Female,40 to 49,353479
norway,2019,Female,50 to 59,340639
norway,2019,Female,60 to 69,289334
norway,2019,Female,70 to 79,221448
norway,2019,Female,80 to 89,107596
norway,2019,Female,90 to 99,31801
norway,2019,Female,Overall,2652081
norway,2019,Male,0 to 9,313464
norway,2019,Male,10 to 19,329766
norway,2019,Male,100 and over,0
norway,2019,Male,20 to 29,366059
norway,2019,Male,30 to 39,371075
norway,2019,Male,40 to 49,372673
norway,2019,Male,50 to 59,357148
norway,2019,Male,60 to 69,290288
norway,2019,Male,70 to 79,206389
norway,2019,Male,80 to 89,75660
norway,2019,Male,90 to 99,13298
norway,2019,Male,Overall,2695820
norway,2020,Both,0 to 9,599446
norway,2020,Both,10 to 19,643825
norway,2020,Both,100 and over,0
