region,year,sex,age_gr,population
belgium,2020,Female,60 to 69,1376290
belgium,2020,Male,60 to 69,1317988
belgium,2020,Both,70 to 79,1848582
belgium,2020,Female,70 to 79,994264
belgium,2020,Male,70 to 79,854318
belgium,2020,Both,80 to 89,1078780
belgium,2020,Female,80 to 89,655782
belgium,2020,Male,80 to 89,422998
belgium,2020,Both,90 to 99,231206
belgium,2020,Female,90 to 99,166292
belgium,2020,Male,90 to 99,64914
belgium,2021,Both,0 to 9,2503688
belgium,2021,Female,0 to 9,1224052
belgium,2021,Male,0 to 9,1279636
belgium,2021,Both,10 to 19,2628054
belgium,2021,Female,10 to 19,1282828
belgium,2021,Male,10 to 19,1345226
belgium,2021,Both,100 and over,4326
belgium,2021,Female,100 and over,3616
belgium,2021,Male,100 and over,710
belgium,2021,Both,20 to 29,2800788
belgium,2021,Female,20 to 29,1386598
belgium,2021,Male,20 to 29,1414190
belgium,2021,Both,30 to 39,2998566
belgium,2021,Female,30 to 39,1501030
belgium,2021,Male,30 to 39,1497536
belgium,2021,Both,40 to 49,3004758
belgium,2021,Female,40 to 49,1491280
belgium,2021,Male,40 to 49,1513478
belgium,2021,Both,50 to 59,3179222
belgium,2021,Female,50 to 59,1576058
belgium,2021,Male,50 to 59,1603164
belgium,2021,Both,60 to 69,2734476
belgium,2021,Female,60 to 69,1395534
belgium,2021,Male,60 to 69,1338942
belgium,2021,Both,70 to 79,1897764
belgium,2021,Female,70 to 79,1019266
belgium,2021,Male,70 to 79,878498
belgium,2021,Both,80 to 89,1057116
belgium,2021,Female,80 to 89,640422
belgium,2021,Male,80 to 89,416694
belgium,2021,Both,90 to 99,233718
belgium,2021,Female,90 to 99,167370
belgium,2021,Male,90 to 99,66348
belgium,2022,Both,0 to 9,2485490
belgium,2022,Female,0 to 9,1215196
belgium,2022,Male,0 to 9,1270294
belgium,2022,Both,10 to 19,2661650
belgium,2022,Female,10 to 19,1299050
belgium,2022,Male,10 to 19,1362600
belgium,2022,Both,100 and over,5122
belgium,2022,Female,100 and over,4276
belgium,2022,Male,100 and over,846
belgium,2022,Both,20 to 29,2796034
belgium,2022,Female,20 to 29,1383870
belgium,2022,Male,20 to 29,1412164
belgium,2022,Both,30 to 39,3020532
belgium,2022,Female,30 to 39,1512460
belgium,2022,Male,30 to 39,1508072
belgium,2022,Both,40 to 49,3002152
belgium,2022,Female,40 to 49,1491196
belgium,2022,Male,40 to 49,1510956
belgium,2022,Both,50 to 59,3172002
belgium,2022,Female,50 to 59,1571588
belgium,2022,Male,50 to 59,1600414
belgium,2022,Both,60 to 69,2781598
belgium,2022,Female,60 to 69,1418640
belgium,2022,Male,60 to 69,1362958
belgium,2022,Both,70 to 79,1961116
belgium,2022,Female,70 to 79,1052618
belgium,2022,Male,70 to 79,908498
belgium,2022,Both,80 to 89,1035864
belgium,2022,Female,80 to 89,625770
belgium,2022,Male,80 to 89,410094
belgium,2022,Both,90 to 99,246456
belgium,2022,Female,90 to 99,175548
belgium,2022,Male,90 to 99,70908
belgium,2023,Both,0 to 9,2480344
belgium,2023,Female,0 to 9,1212282
belgium,2023,Male,0 to 9,1268062
belgium,2023,Both,10 to 19,2717690
belgium,2023,Female,10 to 19,1327278
belgium,2023,Male,10 to 19,1390412
belgium,2023,Both,100 and over,5466
belgium,2023,Female,100 and over,4570
belgium,2023,Male,100 and over,896
belgium,2023,Both,20 to 29,2808050
belgium,2023,Female,20 to 29,1392634
belgium,2023,Male,20 to 29,1415416
belgium,2023,Both,30 to 39,3067862
belgium,2023,Female,30 to 39,1539206
belgium,2023,Male,30 to 39,1528656
belgium,2023,Both,40 to 49,3020190
belgium,2023,Female,40 to 49,1504468
belgium,2023,Male,40 to 49,1515722
belgium,2023,Both,50 to 59,3166564
belgium,2023,Female,50 to 59,1570870
belgium,2023,Male,50 to 59,1595694
belgium,2023,Both,60 to 69,2826180
belgium,2023,Female,60 to 69,1440608
belgium,2023,Male,60 to 69,1385572
belgium,2023,Both,70 to 79,2024818
belgium,2023,Female,70 to 79,1085526
belgium,2023,Male,70 to 79,939292
belgium,2023,Both,80 to 89,1025264
belgium,2023,Female,80 to 89,616054
belgium,2023,Male,80 to 89,409210
belgium,2023,Both,90 to 99,252686
belgium,2023,Female,90 to 99,178798
belgium,2023,Male,90 to 99,73888
