region,year,sex,age_gr,population
belgium,2020,Both,40 to 49,1504539
belgium,2020,Both,50 to 59,1590628
belgium,2020,Both,60 to 69,1347139
belgium,2020,Both,70 to 79,924291
belgium,2020,Both,80 to 89,539390
belgium,2020,Both,90 to 99,115603
belgium,2020,Both,Overall,11492641
belgium,2020,Female,0 to 9,620437
belgium,2020,Female,10 to 19,634565
belgium,2020,Female,100 and over,1522
belgium,2020,Female,20 to 29,698130
belgium,2020,Female,30 to 39,746869
belgium,2020,Female,40 to 49,745456
belgium,2020,Female,50 to 59,789284
belgium,2020,Female,60 to 69,688145
belgium,2020,Female,70 to 79,497132
belgium,2020,Female,80 to 89,327891
belgium,2020,Female,90 to 99,83146
belgium,2020,Female,Overall,5832577
belgium,2020,Male,0 to 9,648631
belgium,2020,Male,10 to 19,665689
belgium,2020,Male,100 and over,272
belgium,2020,Male,20 to 29,709515
belgium,2020,Male,30 to 39,745421
belgium,2020,Male,40 to 49,759083
belgium,2020,Male,50 to 59,801344
belgium,2020,Male,60 to 69,658994
belgium,2020,Male,70 to 79,427159
belgium,2020,Male,80 to 89,211499
belgium,2020,Male,90 to 99,32457
belgium,2020,Male,Overall,5660064
belgium,2021,Both,0 to 9,1251844
belgium,2021,Both,10 to 19,1314027
belgium,2021,Both,100 and over,2163
belgium,2021,Both,20 to 29,1400394
belgium,2021,Both,30 to 39,1499283
belgium,2021,Both,40 to 49,1502379
belgium,2021,Both,50 to 59,1589611
belgium,2021,Both,60 to 69,1367238
belgium,2021,Both,70 to 79,948882
belgium,2021,Both,80 to 89,528558
belgium,2021,Both,90 to 99,116859
belgium,2021,Both,Overall,11521238
belgium,2021,Female,0 to 9,612026
belgium,2021,Female,10 to 19,641414
belgium,2021,Female,100 and over,1808
belgium,2021,Female,20 to 29,693299
belgium,2021,Female,30 to 39,750515
belgium,2021,Female,40 to 49,745640
belgium,2021,Female,50 to 59,788029
belgium,2021,Female,60 to 69,697767
belgium,2021,Female,70 to 79,509633
belgium,2021,Female,80 to 89,320211
belgium,2021,Female,90 to 99,83685
belgium,2021,Female,Overall,5844027
belgium,2021,Male,0 to 9,639818
belgium,2021,Male,10 to 19,672613
belgium,2021,Male,100 and over,355
belgium,2021,Male,20 to 29,707095
belgium,2021,Male,30 to 39,748768
belgium,2021,Male,40 to 49,756739
belgium,2021,Male,50 to 59,801582
belgium,2021,Male,60 to 69,669471
belgium,2021,Male,70 to 79,439249
belgium,2021,Male,80 to 89,208347
belgium,2021,Male,90 to 99,33174
belgium,2021,Male,Overall,5677211
belgium,2022,Both,0 to 9,1242745
belgium,2022,Both,10 to 19,1330825
belgium,2022,Both,100 and over,2561
belgium,2022,Both,20 to 29,1398017
belgium,2022,Both,30 to 39,1510266
belgium,2022,Both,40 to 49,1501076
belgium,2022,Both,50 to 59,1586001
belgium,2022,Both,60 to 69,1390799
belgium,2022,Both,70 to 79,980558
